Default Dataset,
X,Y
-0.1559792660775895,0.9917715150971779
-0.14313512580151355,0.9878067003377067
-0.1301913670641443,0.9941523963220865
-0.1076045412735888,0.998555532311248
-0.08505756286755059,0.9988344640028691
-0.06412108291908655,0.9990934720022315
-0.051257018950751965,0.9971907593915306
-0.033561459609694866,0.9953478178576054
-0.015865900268637767,0.9935048763236803
-0.004632258450135984,0.9895201378719505
0.0017898116879020154,0.9875377304922149
0.008191958133681343,0.9834932209637091
0.0336411543787295,0.9508183656595242
0.02431686640168157,0.9857545600350658
0.02902881962085213,0.9734417182192204
0.041594028205307,0.9406074733769663
0.04133502020594457,0.9138001454429536
0.04439662758302365,0.8973431756373091
0.045827812810269986,0.878804179990636
0.04723907434525765,0.8582030821951925
0.047119532191705726,0.8458304693025713
0.045210178350251845,0.8148790133787595
0.04668121096201544,0.8004642220296266
0.04976274203135328,0.7860693543727525
0.052764578331656486,0.7634260781207974
0.05741676047405103,0.7449269298586415
0.057277294628240494,0.73049221481725
0.055487482940338506,0.7119133717860595
0.06013966508273316,0.6934142235239036
0.06167046877127269,0.6851857386210813
0.06479184722512771,0.6749150752617477
0.06459261030254121,0.6542940537740456
0.06449299184124796,0.6439835430301946
0.06262348538431145,0.617156291403923
0.06236447738494899,0.5903489634699104
0.062244935231397125,0.5779763505772891
0.06371596784316064,0.5635615592281563
0.06838807367781402,0.5471245131147706
0.06838807367781402,0.5471245131147706
0.06838807367781402,0.5471245131147706
0.07656010811923664,0.559596744468685
0.07510899919973169,0.5760736379665881
0.07530823612231818,0.5966946594542902
0.07862885149875976,0.6070450175826585
0.09135344962128383,0.590707589930566
0.08813245270613551,0.5906677425460487
0.08670126747888918,0.609206738192722
0.08521031117486694,0.6215594273930847
0.09513230991967436,0.6484862974806492
0.08214870379778783,0.6380163971987289
0.08705989393954489,0.6463245768705858
0.09380074315372128,0.6773358038711735
0.09380074315372128,0.6773358038711735
0.10056151606015623,0.7104091330205315
0.10551255358643064,0.7228415169899287
0.10718282312078081,0.729047747128498
0.10730236527433268,0.7414203600211192
0.10740198373562593,0.7517308707649702
0.11070267541980883,0.7600191267445684
0.11239286864641757,0.768287459031908
0.11569356033060046,0.776575715011506
0.11748337201850251,0.7951545580426966
0.11935287847543907,0.8219818096689679
0.12100322431753052,0.8261259376587671
0.12595426184380487,0.8385583216281642
0.1292748772202465,0.8489086797565326
0.13573679474280176,0.8510504766743374
0.14215886488083973,0.8490680692946018
0.14685089440775168,0.8346931253299863
0.15335265931482428,0.8409591265453316
0.1533725830070829,0.8430212286941017
0.16120591468010853,0.8204377235189226
0.16275664206090673,0.8142713407648707
0.16267694729187215,0.8060229321697898
0.16420775098041174,0.7977944472669676
0.1640682851346012,0.7833597322255762
0.16394874298104928,0.7709871193329549
0.1655193940541061,0.7668828387276732
0.16543969928507152,0.7586344301325924
0.16693065558909376,0.7462817409322297
0.1699125681971383,0.7215763625315045
0.1729542518819588,0.7030572905770899
0.1728745571129242,0.6948088819820091
0.18508113923672342,0.6248567984618911
0.18203945555190293,0.6433758704163057
0.17893800079030642,0.6557086359244096
0.17581662233645134,0.6659792992837434
0.17583654602871002,0.6680414014325136
0.18971339768685935,0.604295548050965
0.19283477614071443,0.5940248846916312
0.19283477614071443,0.5940248846916312
0.19283477614071443,0.5940248846916312
0.19754672935988493,0.5817120428757859
0.2087206001016108,0.5715409979777454
0.2166137028514124,0.5551437992488769
0.21963546284397428,0.5345626251456922
0.22432749237088617,0.5201876811810766
0.23257922158134342,0.540908321130072
0.23432918588472812,0.5553629598637221
0.23440888065376275,0.563611368458803
0.23623853972618203,0.5863144157875338
0.2362584634184407,0.5883765179363042
0.24966046707775885,0.6421505633423987
0.25294123506968313,0.6483767171732266
0.25781257782692285,0.652560692547543
0.23957907879488233,0.5987268760646725
0.2463000043168,0.6276760009164899
0.24456996370567397,0.6152834643316101
0.25759341721207774,0.6298775689110707
0.2590843735161,0.6175248797107082
0.26701732365041897,0.6052518852793801
0.2684684325699239,0.5887749917814772
0.27469126578537534,0.5661715629140395
0.2762220694739149,0.5579430780112172
0.2808144805395336,0.5332576233027506
0.2838960116088714,0.5188627556458765
0.28381631683983677,0.5106143470507957
0.2947710269667174,0.47776017851628283
0.29791232911283116,0.46955161730571926
0.3042148570973173,0.45519659703336246
0.31538872783904315,0.4450255521353219
